iter	Passed	Remaining
400	14730	22003
401	14765	21963
402	14800	21924
403	14835	21886
404	14881	21863
405	14925	21836
406	14959	21795
407	15001	21766
408	15031	21720
409	15065	21679
410	15099	21639
411	15134	21600
412	15168	21559
413	15202	21519
414	15237	21479
415	15275	21443
416	15308	21402
417	15341	21361
418	15379	21325
419	15418	21292
420	15462	21265
421	15496	21225
422	15532	21187
423	15566	21146
424	15600	21106
425	15636	21068
426	15675	21035
427	15708	20993
428	15745	20957
429	15779	20917
430	15826	20893
431	15859	20852
432	15896	20816
433	15938	20785
434	15971	20744
435	16007	20707
436	16042	20668
437	16070	20620
438	16109	20586
439	16159	20567
440	16194	20527
441	16227	20486
442	16261	20446
443	16296	20406
444	16328	20365
445	16364	20326
446	16401	20290
447	16435	20251
448	16470	20211
449	16505	20173
450	16539	20133
451	16573	20093
452	16608	20055
453	16643	20016
454	16678	19978
455	16712	19938
456	16745	19897
457	16779	19856
458	16815	19820
459	16850	19780
460	16883	19740
461	16917	19700
462	16951	19661
463	16985	19621
464	17020	19582
465	17055	19544
466	17089	19504
467	17125	19467
468	17159	19427
469	17193	19388
470	17228	19349
471	17264	19312
472	17297	19272
473	17331	19233
474	17365	19193
475	17397	19152
476	17431	19112
477	17465	19073
478	17500	19035
479	17534	18995
480	17578	18967
481	17613	18928
482	17646	18889
483	17681	18851
484	17714	18810
485	17748	18771
486	17783	18732
487	17815	18691
488	17847	18650
489	17883	18613
490	17916	18573
491	17949	18533
492	17981	18492
493	18015	18453
494	18047	18411
495	18080	18371
496	18112	18331
497	18147	18293
498	18192	18265
499	18225	18225
500	18256	18183
501	18287	18142
502	18335	18116
503	18400	18108
504	18435	18070
505	18466	18028
506	18501	17990
507	18534	17950
508	18569	17913
509	18614	17884
510	18651	17848
511	18687	17811
512	18721	17772
513	18754	17733
514	18789	17694
515	18822	17655
516	18857	17617
517	18893	17580
518	18926	17541
519	18960	17501
520	18996	17464
521	19032	17428
522	19074	17396
523	19108	17358
524	19146	17323
525	19183	17286
526	19219	17249
527	19252	17210
528	19288	17173
529	19331	17143
530	19366	17105
531	19399	17065
532	19433	17027
533	19467	16988
534	19504	16952
535	19538	16914
536	19574	16876
537	19609	16839
538	19657	16813
539	19693	16776
540	19731	16740
541	19767	16704
542	19801	16665
543	19837	16628
544	19873	16592
545	19908	16554
546	19956	16527
547	20009	16504
548	20043	16465
549	20075	16425
550	20111	16388
551	20147	16351
552	20184	16315
553	20219	16277
554	20254	16240
555	20291	16204
556	20325	16165
557	20359	16126
558	20395	16090
559	20432	16053
560	20465	16015
561	20502	15978
562	20537	15941
563	20572	15903
564	20606	15865
565	20641	15827
566	20676	15790
567	20710	15751
568	20756	15722
569	20815	15702
570	20882	15689
571	20918	15652
572	20953	15614
573	20989	15577
574	21026	15541
575	21060	15502
576	21096	15465
577	21131	15428
578	21164	15389
579	21198	15350
580	21233	15312
581	21267	15274
582	21303	15237
583	21338	15199
584	21371	15160
585	21406	15123
586	21440	15085
587	21476	15048
588	21517	15014
589	21550	14975
590	21584	14937
591	21618	14899
592	21650	14859
593	21688	14824
594	21723	14786
595	21757	14748
596	21794	14712
597	21827	14673
598	21861	14635
599	21897	14598
600	21931	14560
601	21964	14521
602	21999	14483
603	22032	14445
604	22067	14407
605	22103	14370
606	22139	14333
607	22181	14301
608	22215	14262
609	22251	14226
610	22285	14188
611	22321	14151
612	22355	14113
613	22389	14075
614	22424	14038
615	22458	13999
616	22490	13961
617	22526	13924
618	22560	13886
619	22592	13847
620	22627	13809
621	22660	13771
622	22695	13733
623	22729	13695
624	22763	13658
625	22797	13620
626	22833	13583
627	22876	13551
628	22911	13513
629	22945	13475
630	22978	13437
631	23014	13400
632	23047	13362
633	23081	13324
634	23113	13285
635	23148	13248
636	23182	13210
637	23216	13172
638	23249	13134
639	23281	13095
640	23324	13063
641	23357	13025
642	23391	12987
643	23426	12950
644	23458	12911
645	23491	12872
646	23525	12835
647	23559	12797
648	23592	12759
649	23627	12722
650	23659	12683
651	23694	12646
652	23731	12610
653	23768	12574
654	23802	12536
655	23836	12499
656	23870	12462
657	23905	12424
658	23938	12387
659	23974	12350
660	24008	12312
661	24042	12275
662	24075	12237
663	24109	12199
664	24142	12162
665	24176	12124
666	24211	12087
667	24247	12051
668	24281	12013
669	24333	11984
670	24365	11946
671	24400	11909
672	24435	11872
673	24468	11835
674	24503	11797
675	24537	11760
676	24571	11723
677	24604	11685
678	24636	11647
679	24671	11609
680	24705	11572
681	24740	11535
682	24773	11498
683	24808	11461
684	24843	11424
685	24877	11386
686	24910	11349
687	24944	11311
688	24978	11274
689	25011	11237
690	25045	11199
691	25104	11173
692	25138	11136
693	25172	11098
694	25206	11061
695	25240	11024
696	25274	10987
697	25309	10950
698	25343	10913
699	25376	10875
700	25409	10838
701	25444	10801
702	25478	10764
703	25512	10726
704	25547	10690
705	25579	10652
706	25611	10614
707	25646	10577
708	25682	10540
709	25718	10504
710	25751	10467
711	25785	10430
712	25839	10400
713	25872	10363
714	25907	10326
715	25942	10290
716	25975	10252
717	26006	10214
718	26042	10177
719	26075	10140
720	26109	10103
721	26145	10066
722	26179	10030
723	26213	9993
724	26247	9956
725	26281	9918
726	26315	9881
727	26349	9844
728	26384	9808
729	26418	9771
730	26465	9739
731	26498	9701
732	26532	9664
733	26566	9627
734	26598	9590
735	26635	9554
736	26671	9517
737	26707	9481
738	26741	9444
739	26775	9407
740	26809	9370
741	26843	9333
742	26877	9296
743	26911	9259
744	26943	9222
745	26977	9185
746	27012	9148
747	27047	9112
748	27080	9075
749	27114	9038
750	27149	9001
751	27183	8964
752	27217	8927
753	27251	8890
754	27284	8853
755	27318	8817
756	27353	8780
757	27386	8743
758	27421	8707
759	27456	8670
760	27506	8638
761	27540	8601
762	27575	8565
763	27607	8527
764	27640	8490
765	27676	8454
766	27710	8417
767	27742	8380
768	27774	8343
769	27808	8306
770	27842	8269
771	27874	8232
772	27908	8195
773	27940	8158
774	27974	8121
775	28007	8084
776	28039	8047
777	28073	8010
778	28107	7974
779	28140	7937
780	28175	7900
781	28209	7864
782	28243	7827
783	28278	7790
784	28311	7754
785	28343	7717
786	28378	7680
787	28411	7643
788	28446	7607
789	28478	7570
790	28513	7533
791	28546	7496
792	28582	7461
793	28617	7424
794	28652	7388
795	28690	7352
796	28723	7316
797	28756	7279
798	28791	7243
799	28825	7206
800	28858	7169
801	28892	7133
802	28925	7096
803	28958	7059
804	28992	7023
805	29032	6987
806	29066	6951
807	29099	6914
808	29131	6877
809	29166	6841
810	29199	6804
811	29233	6768
812	29266	6731
813	29297	6694
814	29331	6658
815	29364	6621
816	29399	6585
817	29433	6548
818	29467	6512
819	29502	6476
820	29547	6442
821	29582	6405
822	29617	6369
823	29651	6333
824	29687	6297
825	29719	6260
826	29753	6224
827	29788	6187
828	29818	6150
829	29851	6114
830	29885	6077
831	29919	6041
832	29953	6005
833	29987	5968
834	30021	5932
835	30054	5895
836	30088	5859
837	30122	5823
838	30155	5786
839	30189	5750
840	30222	5713
841	30254	5677
842	30289	5641
843	30324	5605
844	30358	5568
845	30392	5532
846	30425	5496
847	30459	5459
848	30493	5423
849	30527	5387
850	30559	5350
851	30592	5314
852	30626	5278
853	30660	5241
854	30696	5205
855	30730	5169
856	30764	5133
857	30799	5097
858	30832	5061
859	30867	5024
860	30900	4988
861	30932	4952
862	30966	4915
863	30999	4879
864	31034	4843
865	31068	4807
866	31101	4771
867	31132	4734
868	31166	4698
869	31199	4661
870	31231	4625
871	31265	4589
872	31300	4553
873	31334	4517
874	31366	4480
875	31400	4444
876	31433	4408
877	31466	4372
878	31501	4336
879	31535	4300
880	31569	4264
881	31604	4228
882	31638	4192
883	31672	4156
884	31707	4120
885	31741	4084
886	31775	4048
887	31809	4012
888	31843	3975
889	31877	3939
890	31911	3903
891	31946	3867
892	31980	3831
893	32013	3795
894	32048	3759
895	32083	3723
896	32118	3688
897	32152	3652
898	32185	3615
899	32222	3580
900	32257	3544
901	32292	3508
902	32328	3472
903	32394	3440
904	32430	3404
905	32464	3368
906	32529	3335
907	32564	3299
908	32600	3263
909	32640	3228
910	32675	3192
911	32712	3156
912	32745	3120
913	32782	3084
914	32820	3048
915	32854	3012
916	32888	2976
917	32920	2940
918	32952	2904
919	32985	2868
920	33019	2832
921	33054	2796
922	33088	2760
923	33121	2724
924	33156	2688
925	33190	2652
926	33228	2616
927	33262	2580
928	33295	2544
929	33332	2508
930	33380	2473
931	33413	2437
932	33448	2401
933	33484	2366
934	33519	2330
935	33555	2294
936	33591	2258
937	33627	2222
938	33661	2186
939	33698	2150
940	33733	2115
941	33767	2079
